case_id,topology,size_description,scale_level,method,n_attempted,n_ok,n_timeout,n_failed,completed_fraction,timeout_rate,status_summary,rel_error_mean,rel_error_std,RMSE_mean,RMSE_std,NMSE_mean,NMSE_std,NMSE_dB_mean,NMSE_dB_std,contract_time_sec_mean,contract_time_sec_std,emit_time_sec_mean,emit_time_sec_std,total_time_sec_mean,total_time_sec_std,t_contract_ratio_mean,t_contract_ratio_std,speedup_vs_exact_mean,speedup_vs_exact_std,num_blocks_mean,num_blocks_std,mean_rank_mean,mean_rank_std,max_rank_mean,max_rank_std,peak_rank_mean,peak_rank_std,num_exact_merges_mean,num_exact_merges_std,num_compressed_merges_mean,num_compressed_merges_std,mean_merge_residual_ratio_mean,mean_merge_residual_ratio_std,num_implicit_merge_sketches_mean,num_implicit_merge_sketches_std,cache_hit_rate_mean,cache_hit_rate_std,relative_runtime_rank_within_case_mean,relative_runtime_rank_within_case_std,relative_error_rank_within_case_mean,relative_error_rank_within_case_std,exact_available,case_completed_fraction,case_timeout_rate,case_difficulty_proxy
main_chain_8,chain,"num_nodes=8, phys_dim=3, bond_dim=4, open_legs_per_node=1",easy,ASTNC-L1,3,3,0,0,1.0,0.0,"ok=3/3, timeout=0, failed=0",2.5704367386803203e-15,2.531295056154657e-16,1.9657171328810904e-19,9.635627366004483e-20,6.64986139514177e-30,1.3357351201769858e-30,-291.82707859293686,0.8354278497044154,0.07126046665750134,0.0019494825248905462,3.963333923214426e-05,5.686153911570896e-07,0.07130009999673348,0.0019490789457648498,0.9994437470919687,2.1910616763573775e-05,13.824363314496985,0.8357827331274057,9.0,0.0,1.0,0.0,16.0,0.0,4.0,0.0,18.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.4444444444444444,0.0,3.0,0.0,1.0,0.0,True,1.0,0.0,0.9850991666668657
main_chain_8,chain,"num_nodes=8, phys_dim=3, bond_dim=4, open_legs_per_node=1",easy,ASTNC-L2,3,3,0,0,1.0,0.0,"ok=3/3, timeout=0, failed=0",2.5704367386803203e-15,2.531295056154657e-16,1.9657171328810904e-19,9.635627366004483e-20,6.64986139514177e-30,1.3357351201769858e-30,-291.82707859293686,0.8354278497044154,0.021552566666893352,0.0005634586241460631,3.4733333450276405e-05,2.059937331295714e-06,0.021587300000343628,0.0005654187565691861,0.998391870199234,5.671990374368783e-05,45.688681664539054,3.4096619649271553,9.0,0.0,1.0,0.0,16.0,0.0,4.0,0.0,18.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.4444444444444444,0.0,2.0,0.0,2.0,0.0,True,1.0,0.0,0.9850991666668657
main_chain_8,chain,"num_nodes=8, phys_dim=3, bond_dim=4, open_legs_per_node=1",easy,ASTNC-L3,3,3,0,0,1.0,0.0,"ok=3/3, timeout=0, failed=0",0.0024758799989302374,0.004288349951586548,7.434276486350525e-08,1.287654459183011e-07,1.8389945322406606e-05,3.185231964682186e-05,-209.06423819055286,144.17704160902582,0.11008856666254967,0.0022280746875477115,3.92333337610277e-05,1.2503282615190515e-06,0.11012779999631069,0.0022289136891751517,0.9996437538061015,8.371469519217327e-06,8.946296748992618,0.46365593619437645,9.0,0.0,1.0,0.0,16.0,0.0,4.0,0.0,17.666666666666668,0.5773502691896257,45.333333333333336,0.5773502691896257,0.0001175577252443269,0.0002036159529453966,0.0,0.0,0.4444444444444444,0.0,4.0,0.0,3.0,0.0,True,1.0,0.0,0.9850991666668657
main_grid2d_3x3,grid2d,"grid_shape=[3,3], num_nodes=9, phys_dim=3, bond_dim=4, open_legs_per_node=1",easy,exact,3,3,0,0,1.0,0.0,"ok=3/3, timeout=0, failed=0",0.0,0.0,0.0,0.0,0.0,0.0,,,37.19936439999947,4.254726641566867,0.00015476666764395,3.078803633119023e-05,37.19951916666711,4.254753503246232,0.9999958594362096,4.582182018598198e-07,0.9818020887229874,0.05418857550179087,9.0,0.0,,,,,,,,,,,,,,,,,5.0,0.0,,,True,1.0,0.0,37.19951916666711
main_grid2d_3x3,grid2d,"grid_shape=[3,3], num_nodes=9, phys_dim=3, bond_dim=4, open_legs_per_node=1",easy,fixed-rank baseline,3,3,0,0,1.0,0.0,"ok=3/3, timeout=0, failed=0",0.9789127199918946,0.0017709821614160354,1.7846814046470543e-06,3.3099567418133384e-07,0.9582722119573157,0.0034656074794454446,-0.18513001214798372,0.015721490770748126,0.0655568333343884,0.0019172964893887892,0.00015846666671374501,5.43604924890034e-05,0.06571530000110215,0.0018633243470361183,0.9975717068797489,0.0008971433889819812,567.4070686101419,78.12073546564383,9.0,0.0,1.0,0.0,4.0,0.0,4.0,0.0,12.0,0.0,54.0,0.0,0.0,0.0,45.0,0.0,0.4397163120567376,0.0,1.0,0.0,,,True,1.0,0.0,37.19951916666711
main_grid2d_3x3,grid2d,"grid_shape=[3,3], num_nodes=9, phys_dim=3, bond_dim=4, open_legs_per_node=1",easy,ASTNC-L1,3,3,0,0,1.0,0.0,"ok=3/3, timeout=0, failed=0",1.2467806475588296e-13,1.773201753215654e-13,2.323190939591468e-19,3.308949016765576e-19,3.650624982783085e-26,6.2345310392761e-26,-265.30811617552337,13.637308980098007,0.1905706999997013,0.006768975351898642,9.376666669898744e-05,2.534607113198032e-05,0.19066446666640027,0.006782901545145101,0.9995094738912136,0.00012331288656156354,194.8850603995743,18.37735246637699,9.0,0.0,1.0,0.0,16.0,0.0,64.0,0.0,30.0,0.0,36.0,0.0,3.1657588398598696e-09,9.077462047471023e-10,18.0,0.0,0.4397163120567376,0.0,2.0,0.0,1.0,0.0,True,1.0,0.0,37.19951916666711
main_grid2d_3x3,grid2d,"grid_shape=[3,3], num_nodes=9, phys_dim=3, bond_dim=4, open_legs_per_node=1",easy,ASTNC-L2,3,3,0,0,1.0,0.0,"ok=3/3, timeout=0, failed=0",0.004077588633579605,0.0004174125459692234,7.527859693600909e-09,2.111622570059887e-09,1.674288468436407e-05,3.36800462152865e-06,-47.822880733364755,0.9024578573269308,0.4424494333319065,0.03098067410712143,0.00014736666526005138,4.2248354245941865e-05,0.44259679999716656,0.030994888098804088,0.9996673055045485,8.846420490776874e-05,83.90981062274207,5.194168315803701,9.0,0.0,1.0,0.0,16.0,0.0,64.0,0.0,30.0,0.0,36.0,0.0,0.00040294832590257764,5.9488490192791466e-05,13.666666666666666,0.5773502691896257,0.4397163120567376,0.0,4.0,0.0,2.0,0.0,True,1.0,0.0,37.19951916666711
main_grid2d_3x3,grid2d,"grid_shape=[3,3], num_nodes=9, phys_dim=3, bond_dim=4, open_legs_per_node=1",easy,ASTNC-L3,3,3,0,0,1.0,0.0,"ok=3/3, timeout=0, failed=0",0.018050690271696705,0.0006442732061730527,3.276393175156633e-08,4.958871326351661e-09,0.0003261041472304001,2.32770431703051e-05,-34.873810967146945,0.3099464366878074,0.3330134666662161,0.12371158138093115,0.00012513333429827375,4.328571717385045e-05,0.3331386000005144,0.12374437000256538,0.999607011929756,0.00011969738202170961,120.30710977457157,34.91295498219442,9.0,0.0,1.0,0.0,16.0,0.0,64.0,0.0,30.0,0.0,36.0,0.0,0.0026462219800147168,0.0002966471667363627,8.0,1.7320508075688772,0.4397163120567376,0.0,3.0,0.0,3.0,0.0,True,1.0,0.0,37.19951916666711
main_random_8,random_connected,"num_nodes=8, phys_dim=3, bond_dim=4, edge_prob=0.35, open_legs_per_node=1",easy,exact,3,3,0,0,1.0,0.0,"ok=3/3, timeout=0, failed=0",0.0,0.0,0.0,0.0,0.0,0.0,,,0.7325429666664908,0.4783351661371598,3.823333402882175e-05,4.027820982630686e-06,0.7325812000005195,0.4783358057006,0.9999241019396619,6.111801519304574e-05,1.0007210084012654,0.020557548376987526,9.0,0.0,,,,,,,,,,,,,,,,,5.0,0.0,,,True,1.0,0.0,0.7325812000005195
main_random_8,random_connected,"num_nodes=8, phys_dim=3, bond_dim=4, edge_prob=0.35, open_legs_per_node=1",easy,fixed-rank baseline,3,3,0,0,1.0,0.0,"ok=3/3, timeout=0, failed=0",0.9283189703797117,0.06371719549640187,9.583172213978422e-06,7.020507445993499e-06,0.8644827035310154,0.11764175219109754,-0.6598325629884922,0.6006582041814481,0.033690299998852424,0.028111146794596732,3.53666667554838e-05,3.1214300641114053e-06,0.03372566666560791,0.028110172988972264,0.9984126722463595,0.0010581081159959785,26.40559071702793,18.132914689492214,9.0,0.0,1.0,0.0,4.0,0.0,7.333333333333333,2.8867513459481287,18.0,7.937253933193772,25.0,9.643650760992955,0.0,0.0,13.0,4.58257569495584,0.4148148148148148,0.02566001196398334,1.0,0.0,,,True,1.0,0.0,0.7325812000005195
main_random_8,random_connected,"num_nodes=8, phys_dim=3, bond_dim=4, edge_prob=0.35, open_legs_per_node=1",easy,ASTNC-L1,3,3,0,0,1.0,0.0,"ok=3/3, timeout=0, failed=0",8.676504915509377e-15,5.411459293905787e-15,6.901397859978115e-20,5.71372985686278e-20,9.480433300355023e-29,9.933764772275169e-29,-282.55490340539296,6.115178995738126,0.0546874333354026,0.03371782429181249,3.319999927953177e-05,2.4515293663147826e-06,0.054720633334682134,0.0337199996122828,0.9992673940860033,0.0003065362640717335,13.272219793464611,4.89327808545936,9.0,0.0,1.0,0.0,16.0,0.0,63.0,31.176914536239792,20.0,13.856406460551018,23.0,3.4641016151377544,1.8431572412096964e-09,7.381402367832528e-11,2.0,1.7320508075688772,0.4148148148148148,0.02566001196398334,3.3333333333333335,0.5773502691896257,1.3333333333333333,0.5773502691896257,True,1.0,0.0,0.7325812000005195
main_random_8,random_connected,"num_nodes=8, phys_dim=3, bond_dim=4, edge_prob=0.35, open_legs_per_node=1",easy,ASTNC-L2,3,3,0,0,1.0,0.0,"ok=3/3, timeout=0, failed=0",2.161500731264672e-14,3.010212704854022e-14,7.622940403452554e-20,2.620182262026576e-20,1.071300591147202e-27,1.823554064376334e-27,-280.0424487803155,13.12568328496311,0.05235576666685423,0.030172998662626897,3.1600000511389226e-05,2.6057617088978288e-06,0.05238736666736562,0.03017352366049375,0.9992777978392392,0.0003101197359700649,13.561043787984516,4.416864082094161,9.0,0.0,1.0,0.0,16.0,0.0,63.0,31.176914536239792,20.0,13.856406460551018,23.0,3.4641016151377544,1.9781868694325616e-09,4.147734637943115e-10,2.0,1.7320508075688772,0.4148148148148148,0.02566001196398334,2.6666666666666665,1.1547005383792515,2.0,1.0,True,1.0,0.0,0.7325812000005195
main_random_8,random_connected,"num_nodes=8, phys_dim=3, bond_dim=4, edge_prob=0.35, open_legs_per_node=1",easy,ASTNC-L3,3,3,0,0,1.0,0.0,"ok=3/3, timeout=0, failed=0",0.012649176077020876,0.018338197764311375,2.0298932208879187e-07,3.0280190404821334e-07,0.00038419465417117846,0.0006497403025605714,-115.78920053473243,134.29885077625562,0.05451093333347975,0.03453908460453909,3.470000024208275e-05,2.5059929633310406e-06,0.05454563333372183,0.03454124701277513,0.9992234036797403,0.00033264357370789383,13.44323700922214,5.1759824075535175,9.0,0.0,1.0,0.0,16.0,0.0,62.333333333333336,30.615900008546756,18.0,14.933184523068078,25.0,3.605551275463989,0.001416529353972015,0.002264827776291294,2.0,1.7320508075688772,0.4148148148148148,0.02566001196398334,3.0,1.0,2.6666666666666665,0.5773502691896257,True,1.0,0.0,0.7325812000005195
main_ring_8,ring,"num_nodes=8, phys_dim=3, bond_dim=4, open_legs_per_node=1",easy,exact,3,3,0,0,1.0,0.0,"ok=3/3, timeout=0, failed=0",0.0,0.0,0.0,0.0,0.0,0.0,,,3.007152199998624,0.1122107936297478,6.329999935890858e-05,1.802774734546845e-06,3.007215499997983,0.11221231217820508,0.999978943861972,4.242707545067616e-07,0.6467578195101872,0.019888710711103902,9.0,0.0,,,,,,,,,,,,,,,,,5.0,0.0,,,True,1.0,0.0,3.007215499997983
main_ring_8,ring,"num_nodes=8, phys_dim=3, bond_dim=4, open_legs_per_node=1",easy,fixed-rank baseline,3,3,0,0,1.0,0.0,"ok=3/3, timeout=0, failed=0",0.8057554395559248,0.027808751690205177,3.5977753429934176e-05,1.4379001892349168e-05,0.6497573798891576,0.04474246255148942,-1.879393367328947,0.30040081834350707,0.024335600000995328,0.0011776407678775237,3.510000169626437e-05,3.7242464584008507e-06,0.024370700002691592,0.0011812808224445398,0.9985622482555696,8.363549318842293e-05,123.70412821042933,10.011291031089597,9.0,0.0,1.0,0.0,4.0,0.0,9.0,0.0,27.0,0.0,36.0,0.0,0.0,0.0,27.0,0.0,0.4444444444444444,0.0,1.0,0.0,,,True,1.0,0.0,3.007215499997983
main_ring_8,ring,"num_nodes=8, phys_dim=3, bond_dim=4, open_legs_per_node=1",easy,ASTNC-L1,3,3,0,0,1.0,0.0,"ok=3/3, timeout=0, failed=0",4.455283938511533e-15,2.5603016295376074e-16,1.9885436138247966e-19,8.099910993355965e-20,1.9893255947981802e-29,2.316075652047504e-30,-287.03187527181365,0.4921084475670821,0.04777303333336628,0.005719602958458121,3.2500000088475645e-05,5.2886664016258255e-06,0.047805533333454754,0.0057248339088891275,0.9993222487749188,3.0763167628447856e-05,63.57537363522479,8.759041625400291,9.0,0.0,1.0,0.0,16.0,0.0,16.0,0.0,27.0,0.0,36.0,0.0,1.9463732519319713e-09,5.996610058213213e-10,0.0,0.0,0.4444444444444444,0.0,2.0,0.0,1.0,0.0,True,1.0,0.0,3.007215499997983
main_ring_8,ring,"num_nodes=8, phys_dim=3, bond_dim=4, open_legs_per_node=1",easy,ASTNC-L2,3,3,0,0,1.0,0.0,"ok=3/3, timeout=0, failed=0",0.0018268661464925257,0.003164224984345159,1.039967895241385e-07,1.8012772327957208e-07,1.0012319755912628e-05,1.734184651886629e-05,-206.61649621694983,139.77050439803617,0.053364666665099016,0.0011464600150990322,3.703333216738732e-05,4.04144365075951e-07,0.053401699997266405,0.001146243995367022,0.9993062430213477,1.9908059879010333e-05,56.321207349441075,2.072020790939454,9.0,0.0,1.0,0.0,16.0,0.0,16.0,0.0,27.0,0.0,36.0,0.0,0.00012771129844972812,0.00022119875582948028,0.0,0.0,0.4444444444444444,0.0,3.6666666666666665,0.5773502691896257,2.0,0.0,True,1.0,0.0,3.007215499997983
main_ring_8,ring,"num_nodes=8, phys_dim=3, bond_dim=4, open_legs_per_node=1",easy,ASTNC-L3,3,3,0,0,1.0,0.0,"ok=3/3, timeout=0, failed=0",0.015534093928304018,0.004440272745318337,7.175316404195274e-07,4.236381440671294e-07,0.00025445208902009876,0.00014908117919736432,-36.39353687699909,2.34051916245574,0.04939306666695605,0.00534135799860742,7.826666751498124e-05,7.940442838776564e-05,0.049471333334471033,0.0053325828341965415,0.998400730735184,0.0016410567715039734,61.36357394518724,8.327119692259688,9.0,0.0,1.0,0.0,16.0,0.0,16.0,0.0,26.0,1.0,37.0,1.0,0.0019820665968456937,0.0009553970197993635,0.0,0.0,0.4444444444444444,0.0,3.3333333333333335,0.5773502691896257,3.0,0.0,True,1.0,0.0,3.007215499997983
main_tree_8,tree,"num_nodes=8, phys_dim=3, bond_dim=4, open_legs_per_node=1",easy,exact,3,3,0,0,1.0,0.0,"ok=3/3, timeout=0, failed=0",0.0,0.0,0.0,0.0,0.0,0.0,,,1.1067673000003804,0.18349281835865908,5.093333372011936e-05,6.8244649277882616e-06,1.1068182333341003,0.18349804812047016,0.9999536717362194,5.256052368459236e-06,0.9777768909462168,0.029202140865225767,9.0,0.0,,,,,,,,,,,,,,,,,5.0,0.0,,,True,1.0,0.0,1.1068182333341003
main_tree_8,tree,"num_nodes=8, phys_dim=3, bond_dim=4, open_legs_per_node=1",easy,fixed-rank baseline,3,3,0,0,1.0,0.0,"ok=3/3, timeout=0, failed=0",0.6524278703147116,0.01792871158088764,5.392443869210571e-05,2.2196662155033304e-05,0.4258764185746547,0.023526010298194955,-3.7115207405106303,0.23741196463940267,0.01914746666746699,0.004616312250342988,3.6899999637777604e-05,2.8618163230322473e-06,0.01918436666710477,0.004619172945508292,0.9980152792026058,0.00038182586679747714,62.26580558036435,28.48443756175219,9.0,0.0,1.0,0.0,4.0,0.0,7.333333333333333,2.8867513459481287,16.0,4.58257569495584,37.0,7.54983443527075,0.0,0.0,10.0,7.54983443527075,0.4340970682434097,0.008534372050105326,1.0,0.0,,,True,1.0,0.0,1.1068182333341003
main_tree_8,tree,"num_nodes=8, phys_dim=3, bond_dim=4, open_legs_per_node=1",easy,ASTNC-L1,3,3,0,0,1.0,0.0,"ok=3/3, timeout=0, failed=0",3.4723159083077588e-15,5.837941406581293e-16,2.735764403214413e-19,8.028452154247596e-20,1.2284188170920258e-29,4.212729052847385e-30,-289.266295631709,1.4171881059835951,0.10032710000329341,0.030966677305797344,3.693333322492739e-05,6.463216662681189e-06,0.10036403333651833,0.03097313877622497,0.9996191169599403,6.280613774468263e-05,11.772584345897904,3.8209817839802986,9.0,0.0,1.0,0.0,16.0,0.0,14.666666666666666,2.309401076758503,19.0,3.4641016151377544,34.0,3.4641016151377544,1.1984660141775995e-09,2.957952209696545e-10,0.0,0.0,0.4340970682434097,0.008534372050105326,3.6666666666666665,0.5773502691896257,1.0,0.0,True,1.0,0.0,1.1068182333341003
main_tree_8,tree,"num_nodes=8, phys_dim=3, bond_dim=4, open_legs_per_node=1",easy,ASTNC-L2,3,3,0,0,1.0,0.0,"ok=3/3, timeout=0, failed=0",0.00481019892737043,0.006255308835054792,2.603805781291864e-07,2.689735348185255e-07,4.922393949507713e-05,7.969816932085804e-05,-126.69629044826351,141.33521419227904,0.022348466666395932,0.004069298255413053,3.196666754471759e-05,4.637168675884471e-06,0.022380433333940648,0.004070887196774012,0.9985456042225759,0.00030655880328872364,51.54006299273216,18.037306921299876,9.0,0.0,1.0,0.0,16.0,0.0,14.666666666666666,2.309401076758503,18.0,3.605551275463989,35.0,3.605551275463989,0.0002220058061825901,0.00027738205238601735,0.0,0.0,0.4340970682434097,0.008534372050105326,2.0,0.0,2.0,0.0,True,1.0,0.0,1.1068182333341003
main_tree_8,tree,"num_nodes=8, phys_dim=3, bond_dim=4, open_legs_per_node=1",easy,ASTNC-L3,3,3,0,0,1.0,0.0,"ok=3/3, timeout=0, failed=0",0.04860717570483052,0.03263287113994732,3.432100034739272e-06,2.1824742803971777e-06,0.0030725937172207344,0.0027496917959835415,-28.49387581096604,8.614876703682722,0.09951743333416137,0.026599529858117667,3.6233337596058846e-05,4.099184518269204e-06,0.09955366667175743,0.026597833061842185,0.9996103710976241,0.0001491059195864963,12.185702436144904,6.000512036072398,9.0,0.0,1.0,0.0,16.0,0.0,14.666666666666666,2.309401076758503,14.0,8.888194417315589,39.0,2.6457513110645907,0.004397306901743729,0.00242559509228903,0.0,0.0,0.4340970682434097,0.008534372050105326,3.3333333333333335,0.5773502691896257,3.0,0.0,True,1.0,0.0,1.1068182333341003
medium_chain_10,chain,"num_nodes=10, phys_dim=3, bond_dim=4, open_legs_per_node=1",medium,exact,2,0,2,0,0.0,1.0,"ok=0/2, timeout=2, failed=0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.25,0.75,0.04154239999479614
