case_id,case_group,topology,size_description,seed,method,method_key,status,status_source,driver_status,driver_error,rel_error,RMSE,NMSE,NMSE_dB,contract_time_sec,emit_time_sec,total_time_sec,speedup_vs_exact,t_contract_ratio,num_blocks,refined_blocks,mean_rank,max_rank,peak_rank,num_exact_merges,num_compressed_merges,num_exact_leaves,num_compressed_leaves,mean_leaf_residual_ratio,mean_merge_residual_ratio,cache_enabled,cache_requests,cache_hits,cache_misses,cache_hit_rate,num_cached_states,leaf_states_built,internal_states_built,num_implicit_merge_sketches,num_explicit_merge_compressions,skipped_small_rank_merges,skipped_small_state_merges,skipped_low_saving_merges,rank_policy,leaf_tol,merge_tol,target_rank,run_dir,t_contract_ratio_recomputed,t_emit_ratio,contract_time_exact_mean_by_case,emit_time_exact_mean_by_case,total_time_exact_mean_by_case,contract_speedup_vs_exact,emit_speedup_vs_exact,total_speedup_vs_exact,delta_total,delta_contract,delta_emit,gain_share_contract,gain_share_emit,log10_contract_time,log10_emit_time
main_tree_8,main_core,tree,"num_nodes=8, phys_dim=3, bond_dim=4, open_legs_per_node=1",1,exact,exact,ok,runner,ok,,0.0,0.0,0.0,-inf,0.9848673000014969,5.160000182513613e-05,0.984918900003322,1.004365841694675,0.9999476098967895,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\Users\mrkys\workspace\sketch_tnc\outputs\main_results_e2e\main_tree_8__exact__s1\2026-04-10_22-45-49,0.9999476098978048,5.239010219517779e-05,1.1067673000003804,5.093333372011936e-05,1.1068182333341003,1.0,1.0,1.0,0.0,0.0,0.0,,,-0.006622281948567351,-4.287350283011421
main_tree_8,main_core,tree,"num_nodes=8, phys_dim=3, bond_dim=4, open_legs_per_node=1",2,exact,exact,ok,runner,ok,,0.0,0.0,0.0,-inf,1.3178003000011813,5.739999869547319e-05,1.3178576999998768,0.946523133718736,0.9999564444630892,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\Users\mrkys\workspace\sketch_tnc\outputs\main_results_e2e\main_tree_8__exact__s2\2026-04-10_22-45-52,0.999956444463848,4.355553615195218e-05,1.1067673000003804,5.093333372011936e-05,1.1068182333341003,1.0,1.0,1.0,0.0,0.0,0.0,,,0.11984960207996713,-4.241088117472215
main_tree_8,main_core,tree,"num_nodes=8, phys_dim=3, bond_dim=4, open_legs_per_node=1",0,fixed-rank baseline,fixed_rank,ok,runner,ok,,0.6724252332041912,7.10083089362657e-05,0.45215569435543357,-3.447119953733333,0.021699099997931626,3.8399997720262036e-05,0.021737499995651888,46.29142266376434,0.9982334675686636,9,0,1.0,4,4,12,45,12,0,0.0,0.0,True,123,54,69,0.43902439024390244,69,12,57,18,27,0,0,0,fixed,0.0,0.0,4,C:\Users\mrkys\workspace\sketch_tnc\outputs\main_results_e2e\main_tree_8__fixed_rank__s0\2026-04-10_22-45-56,0.9982334676145858,0.0017665323854142894,1.1067673000003804,5.093333372011936e-05,1.1068182333341003,51.00521681110637,1.3263889777067361,50.917457552869244,1.0850807333384485,1.0850682000024487,1.2533335999857322e-05,0.9999884493977134,1.1550602286795962e-05,-1.6635582787799383,-4.415668801415741
main_tree_8,main_core,tree,"num_nodes=8, phys_dim=3, bond_dim=4, open_legs_per_node=1",1,fixed-rank baseline,fixed_rank,ok,runner,ok,,0.637790459836012,2.8835665686755797e-05,0.406776670879983,-3.9064396233390015,0.021924700002273312,3.870000000461005e-05,0.021963400002277922,44.72206488315059,0.9982379776811043,9,0,1.0,4,9,21,36,12,0,0.0,0.0,True,123,54,69,0.43902439024390244,69,12,57,9,27,0,9,0,fixed,0.0,0.0,4,C:\Users\mrkys\workspace\sketch_tnc\outputs\main_results_e2e\main_tree_8__fixed_rank__s1\2026-04-10_22-45-58,0.9982379777265543,0.001762022273445655,1.1067673000003804,5.093333372011936e-05,1.1068182333341003,50.48038513118185,1.3161068143165904,50.39375657772965,1.0848548333318224,1.084842599998107,1.223333371550931e-05,0.9999887235293244,1.1276470675747568e-05,-1.6590663404133994,-4.412289034929354
main_tree_8,main_core,tree,"num_nodes=8, phys_dim=3, bond_dim=4, open_legs_per_node=1",2,fixed-rank baseline,fixed_rank,ok,runner,ok,,0.6470679179039315,6.192934145329563e-05,0.4186968904885475,-3.781002644459557,0.013818600002196035,3.360000118846074e-05,0.013852200003384496,89.66167826062762,0.9975743923580496,9,0,1.0,4,9,15,30,12,0,0.0,0.0,True,99,42,57,0.42424242424242425,57,12,45,3,27,0,3,0,fixed,0.0,0.0,4,C:\Users\mrkys\workspace\sketch_tnc\outputs\main_results_e2e\main_tree_8__fixed_rank__s2\2026-04-10_22-46-00,0.9975743924300652,0.0024256075699348317,1.1067673000003804,5.093333372011936e-05,1.1068182333341003,80.0925781066457,1.515872973766781,79.90198185585484,1.0929660333307158,1.0929486999981843,1.733333253165862e-05,0.9999841410144479,1.5858985552219627e-05,-1.8595359542208285,-4.473660707248789
main_tree_8,main_core,tree,"num_nodes=8, phys_dim=3, bond_dim=4, open_legs_per_node=1",0,ASTNC-L2,astnc_l2,ok,runner,ok,,3.268335770021782e-15,3.4513725036651113e-19,1.0682018708101538e-29,-289.7134666575855,0.022255399999266956,2.6899999284069054e-05,0.022282299998551025,44.78615313584726,0.9987927637503934,9,0,1.0,16,16,21,36,12,0,0.0,1.024129043468337e-09,True,123,54,69,0.43902439024390244,69,12,57,0,36,0,0,0,adaptive,0.001,0.005,2,C:\Users\mrkys\workspace\sketch_tnc\outputs\main_results_e2e\main_tree_8__astnc_l2__s0\2026-04-10_22-46-03,0.9987927637952178,0.0012072362047821953,1.1067673000003804,5.093333372011936e-05,1.1068182333341003,49.73028119183815,1.893432530694658,49.672530816211726,1.0845359333355493,1.0845119000011134,2.4033334436050304e-05,0.9999778399832618,2.2160016738343077e-05,-1.652564595678773,-4.570247731556137
main_tree_8,main_core,tree,"num_nodes=8, phys_dim=3, bond_dim=4, open_legs_per_node=1",1,ASTNC-L2,astnc_l2,ok,runner,ok,,0.011881707967085823,5.371936087200849e-07,0.00014117498429221003,-38.50242251912719,0.026463499998499174,3.599999763537198e-05,0.026499499996134546,36.883378935708286,0.9986414838529307,9,0,1.0,16,12,19,38,12,0,0.0,0.000532948714726192,True,123,54,69,0.43902439024390244,69,12,57,0,38,0,0,0,adaptive,0.001,0.005,2,C:\Users\mrkys\workspace\sketch_tnc\outputs\main_results_e2e\main_tree_8__astnc_l2__s1\2026-04-10_22-46-05,0.9986414838906159,0.0013585161093840738,1.1067673000003804,5.093333372011936e-05,1.1068182333341003,41.82240822503254,1.414814918489732,41.76751385858415,1.0803187333379658,1.0803038000018812,1.4933336084747374e-05,0.999986176916475,1.3823083525180012e-05,-1.5773527176121354,-4.443697527758961
main_tree_8,main_core,tree,"num_nodes=8, phys_dim=3, bond_dim=4, open_legs_per_node=1",2,ASTNC-L2,astnc_l2,ok,runner,ok,,0.0025488888150221986,2.439481256671291e-07,6.49683419302137e-06,-51.87298216807781,0.018326500001421664,3.300000571471173e-05,0.018359500007136376,68.34348971623042,0.9982025650644034,9,0,1.0,16,16,14,31,12,0,0.0,0.0001330676796925349,True,99,42,57,0.42424242424242425,57,12,45,0,31,0,0,0,adaptive,0.001,0.005,2,C:\Users\mrkys\workspace\sketch_tnc\outputs\main_results_e2e\main_tree_8__astnc_l2__s2\2026-04-10_22-46-07,0.9982025651187731,0.0017974348812268615,1.1067673000003804,5.093333372011936e-05,1.1068182333341003,60.39163505931431,1.5434340878738928,60.28585925019079,1.088458733326964,1.0884407999989587,1.7933328005407624e-05,0.9999835241084883,1.6475891511837962e-05,-1.736920468764342,-4.481485984914005
main_grid2d_3x3,main_core,grid2d,"grid_shape=[3,3], phys_dim=3, bond_dim=4, open_legs_per_node=1",0,exact,exact,ok,runner,ok,,0.0,0.0,0.0,-inf,39.384179499998936,0.00015300000450224616,39.38433250000344,0.9672690580701856,0.9999961152063322,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\Users\mrkys\workspace\sketch_tnc\outputs\main_results_e2e\main_grid2d_3x3__exact__s0\2026-04-10_22-46-09,0.9999961152063577,3.8847936423000894e-06,37.19936439999947,0.00015476666764395,37.19951916666711,1.0,1.0,1.0,0.0,0.0,0.0,,,1.5953218021390998,-3.8153085564026585
main_grid2d_3x3,main_core,grid2d,"grid_shape=[3,3], phys_dim=3, bond_dim=4, open_legs_per_node=1",1,exact,exact,ok,runner,ok,,0.0,0.0,0.0,-inf,39.91781450000053,0.0001863999968918506,39.91800089999742,0.936361915859493,0.9999953304275342,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\Users\mrkys\workspace\sketch_tnc\outputs\main_results_e2e\main_grid2d_3x3__exact__s1\2026-04-10_22-47-28,0.9999953304275593,4.669572440734692e-06,37.19936439999947,0.00015476666764395,37.19951916666711,1.0,1.0,1.0,0.0,0.0,0.0,,,1.6011667556470848,-3.7295540992237335
