case_id,topology,size_description,scale_level,seed,method,method_key,status,status_source,driver_status,driver_error,rel_error,RMSE,NMSE,NMSE_dB,contract_time_sec,emit_time_sec,total_time_sec,t_contract_ratio,speedup_vs_exact,num_blocks,mean_rank,max_rank,peak_rank,num_exact_merges,num_compressed_merges,mean_merge_residual_ratio,num_implicit_merge_sketches,cache_hit_rate,run_dir,relative_runtime_rank_within_case,relative_error_rank_within_case
main_chain_8,chain,"num_nodes=8, phys_dim=3, bond_dim=4, open_legs_per_node=1",easy,2,ASTNC-L2,astnc_l2,ok,reused:main_results_raw_runs.csv,reused,,2.4574180016932725e-15,2.617325232562503e-19,6.0389032364461456e-30,-292.1904192919515,0.021166200001971447,3.279999873484485e-05,0.021199000000706292,0.9984527572181611,46.709599507915236,9,1.0,16,4,18,45,0.0,0,0.4444444444444444,C:\Users\mrkys\workspace\sketch_tnc\outputs\main_results_e2e\main_chain_8__astnc_l2__s2\2026-04-10_22-53-55,2,2
main_chain_8,chain,"num_nodes=8, phys_dim=3, bond_dim=4, open_legs_per_node=1",easy,0,ASTNC-L3,astnc_l3,ok,runner,reused,,2.393505278631536e-15,2.4209433709851784e-19,5.728867520235528e-30,-292.41931220671654,0.11068729998805793,4.049999552080408e-05,0.11072779998357873,0.999634238226295,8.411248125026237,9,1.0,16,4,18,45,0.0,0,0.4444444444444444,C:\Users\mrkys\workspace\sketch_tnc\outputs\generalization\main_chain_8__astnc_l3__s0\2026-04-11_09-09-21,4,3
main_chain_8,chain,"num_nodes=8, phys_dim=3, bond_dim=4, open_legs_per_node=1",easy,1,ASTNC-L3,astnc_l3,ok,runner,reused,,0.007427639996785861,2.2302829459001193e-07,5.516983596721982e-05,-42.582983072990515,0.11195610000140732,3.9200000173877925e-05,0.1119953000015812,0.9996499853014101,9.230223946759907,9,1.0,16,4,17,46,0.0003526731757329807,0,0.4444444444444444,C:\Users\mrkys\workspace\sketch_tnc\outputs\generalization\main_chain_8__astnc_l3__s1\2026-04-11_09-09-31,4,3
main_chain_8,chain,"num_nodes=8, phys_dim=3, bond_dim=4, open_legs_per_node=1",easy,2,ASTNC-L3,astnc_l3,ok,runner,reused,,2.4574180016932725e-15,2.617325232562503e-19,6.0389032364461456e-30,-292.1904192919515,0.10762229999818373,3.800000558840111e-05,0.10766030000377214,0.9996470378905992,9.197418175191707,9,1.0,16,4,18,45,0.0,0,0.4444444444444444,C:\Users\mrkys\workspace\sketch_tnc\outputs\generalization\main_chain_8__astnc_l3__s2\2026-04-11_09-09-42,4,3
main_ring_8,ring,"num_nodes=8, phys_dim=3, bond_dim=4, open_legs_per_node=1",easy,0,exact,exact,ok,reused:main_results_raw_runs.csv,reused,,0.0,0.0,0.0,-inf,3.134216700002071,6.480000047304202e-05,3.134281500002544,0.9999793254047306,0.6239290248808966,9,,,,,,,,,C:\Users\mrkys\workspace\sketch_tnc\outputs\main_results_e2e\main_ring_8__exact__s0\2026-04-10_22-45-09,5,
main_ring_8,ring,"num_nodes=8, phys_dim=3, bond_dim=4, open_legs_per_node=1",easy,1,exact,exact,ok,reused:main_results_raw_runs.csv,reused,,0.0,0.0,0.0,-inf,2.921660399997563,6.130000110715628e-05,2.9217216999986704,0.9999790192193503,0.6603391075881697,9,,,,,,,,,C:\Users\mrkys\workspace\sketch_tnc\outputs\main_results_e2e\main_ring_8__exact__s1\2026-04-10_22-45-16,5,
main_ring_8,ring,"num_nodes=8, phys_dim=3, bond_dim=4, open_legs_per_node=1",easy,2,exact,exact,ok,reused:main_results_raw_runs.csv,reused,,0.0,0.0,0.0,-inf,2.965579499996238,6.379999649652746e-05,2.9656432999927347,0.999978486961835,0.6560053260614951,9,,,,,,,,,C:\Users\mrkys\workspace\sketch_tnc\outputs\main_results_e2e\main_ring_8__exact__s2\2026-04-10_22-45-22,5,
main_ring_8,ring,"num_nodes=8, phys_dim=3, bond_dim=4, open_legs_per_node=1",easy,0,fixed-rank baseline,fixed_rank,ok,reused:ablation_core_raw_runs.csv,reused,,0.8075321602784388,4.070402464662759e-05,0.6521081902034006,-1.8568034520305186,0.02340830000321148,3.290000131528359e-05,0.023441200004526763,0.9985964881359518,133.70823590077634,9,1.0,4,9,27,36,0.0,27,0.4444444444444444,C:\Users\mrkys\workspace\sketch_tnc\outputs\main_results_e2e\main_ring_8__fixed_rank__s0\2026-04-10_22-45-28,1,
main_ring_8,ring,"num_nodes=8, phys_dim=3, bond_dim=4, open_legs_per_node=1",easy,1,fixed-rank baseline,fixed_rank,ok,reused:ablation_core_raw_runs.csv,reused,,0.7771009286121126,1.9830479629089817e-05,0.6038858538341185,-2.190451437212732,0.025660599994807853,3.9400003515766e-05,0.02569999999832362,0.9984669258942879,113.68566926806423,9,1.0,4,9,27,36,0.0,27,0.4444444444444444,C:\Users\mrkys\workspace\sketch_tnc\outputs\main_results_e2e\main_ring_8__fixed_rank__s1\2026-04-10_22-45-31,1,
main_ring_8,ring,"num_nodes=8, phys_dim=3, bond_dim=4, open_legs_per_node=1",easy,2,fixed-rank baseline,fixed_rank,ok,reused:ablation_core_raw_runs.csv,reused,,0.832633229777223,4.7398756014085125e-05,0.6932780956299538,-1.5909252127435898,0.02393790000496665,3.300000025774352e-05,0.023970900005224394,0.998623330736469,123.7184794624474,9,1.0,4,9,27,36,0.0,27,0.4444444444444444,C:\Users\mrkys\workspace\sketch_tnc\outputs\main_results_e2e\main_ring_8__fixed_rank__s2\2026-04-10_22-45-34,1,
main_ring_8,ring,"num_nodes=8, phys_dim=3, bond_dim=4, open_legs_per_node=1",easy,0,ASTNC-L1,astnc_l1,ok,reused:strength_sensitivity_raw_runs.csv,reused,,4.273663529339475e-15,2.1541594773098242e-19,1.8264199970953154e-29,-287.38399346491207,0.04342399999995905,2.9200000426499173e-05,0.04345320000038555,0.999328012633694,72.13005026038897,9,1.0,16,16,27,36,2.6375446901360654e-09,0,0.4444444444444444,C:\Users\mrkys\workspace\sketch_tnc\outputs\pilot_protocol\main_ring_8__astnc_l1__s0\2026-04-10_20-47-13,2,1
main_ring_8,ring,"num_nodes=8, phys_dim=3, bond_dim=4, open_legs_per_node=1",easy,1,ASTNC-L1,astnc_l1,ok,reused:strength_sensitivity_raw_runs.csv,reused,,4.3440744297741834e-15,1.1085442870431307e-19,1.8870982669677176e-29,-287.2420548420674,0.04564310000023397,2.970000059576705e-05,0.04567280000082974,0.9993497223381406,63.97071561072654,9,1.0,16,16,27,36,1.636910297962205e-09,0,0.4444444444444444,C:\Users\mrkys\workspace\sketch_tnc\outputs\pilot_protocol\main_ring_8__astnc_l1__s1\2026-04-10_20-47-16,2,1
main_ring_8,ring,"num_nodes=8, phys_dim=3, bond_dim=4, open_legs_per_node=1",easy,2,ASTNC-L1,astnc_l1,ok,reused:strength_sensitivity_raw_runs.csv,reused,,4.74811385642094e-15,2.7029270771214353e-19,2.2544585203315075e-29,-286.4695775084615,0.05425199999990582,3.859999924316071e-05,0.05429059999914898,0.999289011352922,54.62535503455887,9,1.0,16,16,27,36,1.5646647676976439e-09,0,0.4444444444444444,C:\Users\mrkys\workspace\sketch_tnc\outputs\strength_sensitivity\main_ring_8__astnc_l1__s2\2026-04-11_00-16-12,2,1
main_ring_8,ring,"num_nodes=8, phys_dim=3, bond_dim=4, open_legs_per_node=1",easy,0,ASTNC-L2,astnc_l2,ok,reused:strength_sensitivity_raw_runs.csv,reused,,4.273663529339475e-15,2.1541594773098242e-19,1.8264199970953154e-29,-287.38399346491207,0.0535005999954592,3.7399999200715683e-05,0.05353799999465991,0.9993014307556549,58.5431189120843,9,1.0,16,16,27,36,2.6375446901360654e-09,0,0.4444444444444444,C:\Users\mrkys\workspace\sketch_tnc\outputs\main_results_e2e\main_ring_8__astnc_l2__s0\2026-04-10_22-45-37,4,2
main_ring_8,ring,"num_nodes=8, phys_dim=3, bond_dim=4, open_legs_per_node=1",easy,1,ASTNC-L2,astnc_l2,ok,reused:strength_sensitivity_raw_runs.csv,reused,,4.3440744297741834e-15,1.1085442870431307e-19,1.8870982669677176e-29,-287.2420548420674,0.05215629999838711,3.709999691636767e-05,0.05219339999530348,0.999289182197002,55.978757855621126,9,1.0,16,16,27,36,1.636910297962205e-09,0,0.4444444444444444,C:\Users\mrkys\workspace\sketch_tnc\outputs\main_results_e2e\main_ring_8__astnc_l2__s1\2026-04-10_22-45-41,4,2
main_ring_8,ring,"num_nodes=8, phys_dim=3, bond_dim=4, open_legs_per_node=1",easy,2,ASTNC-L2,astnc_l2,ok,reused:strength_sensitivity_raw_runs.csv,reused,,0.005480598439468959,3.119903685720892e-07,3.0036959267737884e-05,-45.22344034387008,0.054437100001450744,3.66000003850786e-05,0.05447370000183582,0.9993281161113864,54.44174528061779,9,1.0,16,16,27,36,0.00038312962089419626,0,0.4444444444444444,C:\Users\mrkys\workspace\sketch_tnc\outputs\main_results_e2e\main_ring_8__astnc_l2__s2\2026-04-10_22-45-43,3,2
