case_id,tier,topology,size_description,seed,method,method_key,planned_method_group,status,status_source,driver_status,driver_error,rel_error,RMSE,NMSE,NMSE_dB,contract_time_sec,emit_time_sec,total_time_sec,speedup_vs_exact,t_contract_ratio,num_blocks,refined_blocks,mean_rank,max_rank,peak_rank,num_exact_merges,num_compressed_merges,num_exact_leaves,num_compressed_leaves,mean_leaf_residual_ratio,mean_merge_residual_ratio,cache_enabled,cache_requests,cache_hits,cache_misses,cache_hit_rate,num_cached_states,leaf_states_built,internal_states_built,num_implicit_merge_sketches,num_explicit_merge_compressions,skipped_small_rank_merges,skipped_small_state_merges,skipped_low_saving_merges,rank_policy,leaf_tol,merge_tol,target_rank,run_dir
toy_ring_6,toy,ring,"num_nodes=6, phys_dim=2, bond_dim=3, open_legs_per_node=1",0,ASTNC-L2,astnc_l2,"[""exact"", ""fixed_rank"", ""astnc_l2""]",ok,runner,reused,,5.600158744723314e-05,2.1390804176441526e-07,3.1361777968153657e-09,-85.03599324180522,0.005944700000100056,6.600000233447645e-06,0.005951300000333504,1.5595752185938945,0.9988909983983383,4,0,1.0,16,8,15,5,8,0,0.0,8.858138086139064e-05,True,44,16,28,0.36363636363636365,28,8,20,0,5,0,0,0,adaptive,0.001,0.005,2,C:\Users\mrkys\workspace\sketch_tnc\outputs\pilot_protocol\toy_ring_6__astnc_l2__s0\2026-04-10_20-46-28
toy_ring_6,toy,ring,"num_nodes=6, phys_dim=2, bond_dim=3, open_legs_per_node=1",1,ASTNC-L2,astnc_l2,"[""exact"", ""fixed_rank"", ""astnc_l2""]",ok,runner,reused,,0.0007685680908334698,1.102675699528112e-06,5.906969103503341e-07,-62.286353007205335,0.006672199999684381,6.999999868639861e-06,0.0066791999995530205,1.446280991640822,0.998951970165879,4,0,1.0,16,8,15,5,8,0,0.0,6.861017465218296e-05,True,44,16,28,0.36363636363636365,28,8,20,0,5,0,0,0,adaptive,0.001,0.005,2,C:\Users\mrkys\workspace\sketch_tnc\outputs\pilot_protocol\toy_ring_6__astnc_l2__s1\2026-04-10_20-46-29
toy_tree_6,toy,tree,"num_nodes=6, phys_dim=2, bond_dim=3, open_legs_per_node=1",0,exact,exact,"[""exact"", ""fixed_rank"", ""astnc_l2""]",ok,runner,reused,,0.0,0.0,0.0,-inf,0.006699600000047212,7.60000011723605e-06,0.006707200000164448,1.3805164596868251,0.9988668891466012,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\Users\mrkys\workspace\sketch_tnc\outputs\pilot_protocol\toy_tree_6__exact__s0\2026-04-10_20-46-30
toy_tree_6,toy,tree,"num_nodes=6, phys_dim=2, bond_dim=3, open_legs_per_node=1",1,exact,exact,"[""exact"", ""fixed_rank"", ""astnc_l2""]",ok,runner,reused,,0.0,0.0,0.0,-inf,0.006432899999936126,8.199999683711212e-06,0.006441099999619837,0.863377373350434,0.9987269254191175,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\Users\mrkys\workspace\sketch_tnc\outputs\pilot_protocol\toy_tree_6__exact__s1\2026-04-10_20-46-31
toy_tree_6,toy,tree,"num_nodes=6, phys_dim=2, bond_dim=3, open_legs_per_node=1",0,fixed-rank baseline,fixed_rank,"[""exact"", ""fixed_rank"", ""astnc_l2""]",ok,runner,reused,,7.704864368093968e-16,4.787666997598564e-18,5.936493493311249e-31,-302.2647000386893,0.003359799999770985,6.599999778700294e-06,0.003366399999549685,1.978790398979372,0.9980394484382062,4,0,1.0,4,8,10,4,8,0,0.0,0.0,True,32,10,22,0.3125,22,8,14,0,4,0,6,0,fixed,0.0,0.0,4,C:\Users\mrkys\workspace\sketch_tnc\outputs\pilot_protocol\toy_tree_6__fixed_rank__s0\2026-04-10_20-46-32
toy_tree_6,toy,tree,"num_nodes=6, phys_dim=2, bond_dim=3, open_legs_per_node=1",1,fixed-rank baseline,fixed_rank,"[""exact"", ""fixed_rank"", ""astnc_l2""]",ok,runner,reused,,1.007832640701965e-15,1.2776708683390158e-18,1.0157266318645986e-30,-299.93223160405927,0.00472000000013395,7.200000027296483e-06,0.004727200000161247,1.1731468942010475,0.9984768994276679,4,0,1.0,4,8,16,4,8,0,0.0,0.0,True,44,16,28,0.36363636363636365,28,8,20,0,4,0,4,0,fixed,0.0,0.0,4,C:\Users\mrkys\workspace\sketch_tnc\outputs\pilot_protocol\toy_tree_6__fixed_rank__s1\2026-04-10_20-46-33
toy_tree_6,toy,tree,"num_nodes=6, phys_dim=2, bond_dim=3, open_legs_per_node=1",0,ASTNC-L2,astnc_l2,"[""exact"", ""fixed_rank"", ""astnc_l2""]",ok,runner,reused,,8.0375826036258e-16,4.9944122483457925e-18,6.460273411270725e-31,-301.8974910143317,0.004587899999933143,6.499999926745659e-06,0.004594399999859888,1.4778643562945752,0.998585233996707,4,0,1.0,16,8,6,8,8,0,0.0,0.0,True,32,10,22,0.3125,22,8,14,0,8,0,0,0,adaptive,0.001,0.005,2,C:\Users\mrkys\workspace\sketch_tnc\outputs\pilot_protocol\toy_tree_6__astnc_l2__s0\2026-04-10_20-46-34
toy_tree_6,toy,tree,"num_nodes=6, phys_dim=2, bond_dim=3, open_legs_per_node=1",1,ASTNC-L2,astnc_l2,"[""exact"", ""fixed_rank"", ""astnc_l2""]",ok,runner,reused,,2.89628853680396e-15,3.671744037979576e-18,8.38848729007624e-30,-290.7631634915992,0.0066776999999547115,7.400000185953104e-06,0.006685100000140665,0.8410943739586286,0.9988930605099863,4,0,1.0,16,3,8,12,8,0,0.0,0.0,True,44,16,28,0.36363636363636365,28,8,20,0,12,0,0,0,adaptive,0.001,0.005,2,C:\Users\mrkys\workspace\sketch_tnc\outputs\pilot_protocol\toy_tree_6__astnc_l2__s1\2026-04-10_20-46-35
toy_grid2d_2x3,toy,grid2d,"grid_shape=[2,3], phys_dim=2, bond_dim=3, open_legs_per_node=1",0,exact,exact,"[""exact"", ""fixed_rank"", ""astnc_l2""]",ok,runner,reused,,0.0,0.0,0.0,-inf,0.0061685999999099295,5.999999984851456e-06,0.006174599999894781,1.4633822431340648,0.9990282769760013,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\Users\mrkys\workspace\sketch_tnc\outputs\pilot_protocol\toy_grid2d_2x3__exact__s0\2026-04-10_20-46-35
toy_grid2d_2x3,toy,grid2d,"grid_shape=[2,3], phys_dim=2, bond_dim=3, open_legs_per_node=1",1,exact,exact,"[""exact"", ""fixed_rank"", ""astnc_l2""]",ok,runner,reused,,0.0,0.0,0.0,-inf,0.006223999999974694,1.0200000133409048e-05,0.006234200000108103,1.2852330690226563,0.9983638636662929,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\Users\mrkys\workspace\sketch_tnc\outputs\pilot_protocol\toy_grid2d_2x3__exact__s1\2026-04-10_20-46-36
