case_scope,case_id,topology,size_description,seed,method,method_key,status,driver_status,driver_error,reused_from_group,reused_from_run_name,error_time_product,rel_error,RMSE,NMSE,NMSE_dB,contract_time_sec,emit_time_sec,total_time_sec,t_contract_ratio,num_blocks,mean_rank,max_rank,peak_rank,num_exact_merges,num_compressed_merges,num_exact_leaves,num_compressed_leaves,mean_leaf_residual_ratio,mean_merge_residual_ratio,cache_hit_rate,num_cached_states,num_implicit_merge_sketches,num_explicit_merge_compressions,rank_policy,leaf_tol,merge_tol,target_rank,run_dir
core,main_grid2d_3x3,grid2d,"grid_shape=[3,3], phys_dim=3, bond_dim=4, open_legs_per_node=1",1,ASTNC-L1,astnc_l1,ok,reused,,csv_snapshot,C:\Users\mrkys\workspace\sketch_tnc\outputs\pilot_protocol\main_grid2d_3x3__astnc_l1__s1\2026-04-10_20-51-23,3.543087601817999e-15,1.8723660307418475e-14,2.746285224265641e-20,3.5057545871490274e-28,-274.55218489034405,0.18916370000033567,6.68000004679925e-05,0.18923050000080366,0.9996469913599163,9,1.0,16,64,30,36,13,0,0.0,2.5139479744519136e-09,0.4397163120567376,79,18,18,adaptive,0.0005,0.002,2,C:\Users\mrkys\workspace\sketch_tnc\outputs\pilot_protocol\main_grid2d_3x3__astnc_l1__s1\2026-04-10_20-51-23
core,main_grid2d_3x3,grid2d,"grid_shape=[3,3], phys_dim=3, bond_dim=4, open_legs_per_node=1",2,ASTNC-L1,astnc_l1,ok,reused,,strength_sensitivity,main_grid2d_3x3__astnc_l1__s2,6.084223266038119e-14,3.293875730640507e-13,6.14062227174202e-19,1.0849617411867281e-25,-249.6458557599466,0.1846157999989373,9.73999995039776e-05,0.18471319999844127,0.9994726960471462,9,1.0,16,64,30,36,13,0,0.0,4.202551126454723e-09,0.4397163120567376,79,18,18,adaptive,0.0005,0.002,2,C:\Users\mrkys\workspace\sketch_tnc\outputs\strength_sensitivity\main_grid2d_3x3__astnc_l1__s2\2026-04-11_00-16-17
core,main_grid2d_3x3,grid2d,"grid_shape=[3,3], phys_dim=3, bond_dim=4, open_legs_per_node=1",0,ASTNC-L2,astnc_l2,ok,reused,,csv_snapshot,C:\Users\mrkys\workspace\sketch_tnc\outputs\main_results_e2e\main_grid2d_3x3__astnc_l2__s0\2026-04-10_22-51-36,0.00210106000817626,0.004461158998039453,9.539491641350845e-09,1.9901939738467393e-05,-47.011045931049495,0.4707789000003686,0.00018839999938791152,0.4709672999997565,0.9995999722265483,9,1.0,16,64,30,36,13,0,0.0,0.00047029083613557234,0.4397163120567376,79,13,23,adaptive,0.001,0.005,2,C:\Users\mrkys\workspace\sketch_tnc\outputs\main_results_e2e\main_grid2d_3x3__astnc_l2__s0\2026-04-10_22-51-36
core,main_grid2d_3x3,grid2d,"grid_shape=[3,3], phys_dim=3, bond_dim=4, open_legs_per_node=1",1,ASTNC-L2,astnc_l2,ok,reused,,csv_snapshot,C:\Users\mrkys\workspace\sketch_tnc\outputs\main_results_e2e\main_grid2d_3x3__astnc_l2__s1\2026-04-10_22-52-10,0.0016250831121088587,0.0036330415769231495,5.328748886719373e-09,1.3198991227935569e-05,-48.79459259770086,0.4472024999977293,0.00010399999700894114,0.44730649999473826,0.9997674972350952,9,1.0,16,64,30,36,13,0,0.0,0.0003575459070732554,0.4397163120567376,79,14,22,adaptive,0.001,0.005,2,C:\Users\mrkys\workspace\sketch_tnc\outputs\main_results_e2e\main_grid2d_3x3__astnc_l2__s1\2026-04-10_22-52-10
core,main_grid2d_3x3,grid2d,"grid_shape=[3,3], phys_dim=3, bond_dim=4, open_legs_per_node=1",2,ASTNC-L2,astnc_l2,ok,reused,,csv_snapshot,C:\Users\mrkys\workspace\sketch_tnc\outputs\main_results_e2e\main_grid2d_3x3__astnc_l2__s2\2026-04-10_22-52-45,0.0016948112010773712,0.004138565325776211,7.715338552732508e-09,1.712772308668925e-05,-47.66300367134391,0.40936689999762166,0.00014969999938330147,0.40951659999700496,0.9996344470520022,9,1.0,16,64,30,36,13,0,0.0,0.0003810082344989052,0.4397163120567376,79,14,22,adaptive,0.001,0.005,2,C:\Users\mrkys\workspace\sketch_tnc\outputs\main_results_e2e\main_grid2d_3x3__astnc_l2__s2\2026-04-10_22-52-45
core,main_grid2d_3x3,grid2d,"grid_shape=[3,3], phys_dim=3, bond_dim=4, open_legs_per_node=1",0,ASTNC-L3,astnc_l3,ok,reused,,csv_snapshot,C:\Users\mrkys\workspace\sketch_tnc\outputs\pilot_protocol\main_grid2d_3x3__astnc_l3__s0\2026-04-10_20-52-45,0.007900049396234442,0.017415217401660483,3.723972198894013e-08,0.00030328979916902126,-35.18142196478344,0.4534545000003618,0.00017460000049140945,0.4536291000008532,0.9996151040541917,9,1.0,16,64,30,36,13,0,0.0,0.002463308096788617,0.4397163120567376,79,9,27,adaptive,0.003,0.015,2,C:\Users\mrkys\workspace\sketch_tnc\outputs\pilot_protocol\main_grid2d_3x3__astnc_l3__s0\2026-04-10_20-52-45
core,main_grid2d_3x3,grid2d,"grid_shape=[3,3], phys_dim=3, bond_dim=4, open_legs_per_node=1",1,ASTNC-L3,astnc_l3,ok,reused,,csv_snapshot,C:\Users\mrkys\workspace\sketch_tnc\outputs\pilot_protocol\main_grid2d_3x3__astnc_l3__s1\2026-04-10_20-53-19,0.006348089428659395,0.01870341721072717,2.7433160763306787e-08,0.00034981781875846634,-34.56158072526348,0.33931379999989986,9.420000014870311e-05,0.33940800000004856,0.9997224579233596,9,1.0,16,64,30,36,13,0,0.0,0.0029884904545066852,0.4397163120567376,79,6,30,adaptive,0.003,0.015,2,C:\Users\mrkys\workspace\sketch_tnc\outputs\pilot_protocol\main_grid2d_3x3__astnc_l3__s1\2026-04-10_20-53-19
core,main_grid2d_3x3,grid2d,"grid_shape=[3,3], phys_dim=3, bond_dim=4, open_legs_per_node=1",2,ASTNC-L3,astnc_l3,ok,reused,,strength_sensitivity,main_grid2d_3x3__astnc_l3__s2,0.0037217171200582366,0.01803343620270246,3.361891250245206e-08,0.0003252048237637127,-34.87843021139392,0.2062720999983867,0.00010660000225470867,0.2063787000006414,0.9994834738117166,9,1.0,16,64,30,36,13,0,0.0,0.0024868673887488476,0.4397163120567376,79,9,27,adaptive,0.003,0.015,2,C:\Users\mrkys\workspace\sketch_tnc\outputs\strength_sensitivity\main_grid2d_3x3__astnc_l3__s2\2026-04-11_00-16-40
core,main_random_8,random_connected,"num_nodes=8, phys_dim=3, bond_dim=4, edge_prob=0.35, open_legs_per_node=1",0,ASTNC-L1,astnc_l1,ok,reused,,csv_snapshot,C:\Users\mrkys\workspace\sketch_tnc\outputs\pilot_protocol\main_random_8__astnc_l1__s0\2026-04-10_20-53-57,3.104815233872433e-16,8.17097495355686e-15,1.3368152923376666e-19,6.676483179241519e-29,-281.75452240823677,0.03796480000073643,3.329999981360743e-05,0.03799810000055004,0.99912364037117,9,1.0,16,81,12,21,12,0,0.0,1.9234781283800596e-09,0.4,45,3,18,adaptive,0.0005,0.002,2,C:\Users\mrkys\workspace\sketch_tnc\outputs\pilot_protocol\main_random_8__astnc_l1__s0\2026-04-10_20-53-57
core,main_random_8,random_connected,"num_nodes=8, phys_dim=3, bond_dim=4, edge_prob=0.35, open_legs_per_node=1",1,ASTNC-L1,astnc_l1,ok,reused,,csv_snapshot,C:\Users\mrkys\workspace\sketch_tnc\outputs\pilot_protocol\main_random_8__astnc_l1__s1\2026-04-10_20-53-59,1.1536568255274203e-16,3.535549354709715e-15,4.8005034803442705e-20,1.250010926231982e-29,-289.0308619084673,0.032599499999832915,3.069999979743443e-05,0.03263019999963035,0.9990591537656269,9,1.0,16,27,36,27,12,0,0.0,1.7783001094921215e-09,0.4444444444444444,75,0,27,adaptive,0.0005,0.002,2,C:\Users\mrkys\workspace\sketch_tnc\outputs\pilot_protocol\main_random_8__astnc_l1__s1\2026-04-10_20-53-59
core,main_random_8,random_connected,"num_nodes=8, phys_dim=3, bond_dim=4, edge_prob=0.35, open_legs_per_node=1",2,ASTNC-L1,astnc_l1,ok,reused,,strength_sensitivity,main_random_8__astnc_l1__s2,1.339680858511554e-15,1.4322990438261556e-14,2.5355371762134076e-20,2.0514805795591565e-28,-276.8793258994748,0.09349800000563846,3.559999822755344e-05,0.09353360000386601,0.9996193881212131,9,1.0,16,81,12,21,12,0,0.0,1.827693485756908e-09,0.4,45,3,18,adaptive,0.0005,0.002,2,C:\Users\mrkys\workspace\sketch_tnc\outputs\strength_sensitivity\main_random_8__astnc_l1__s2\2026-04-11_00-17-03
core,main_random_8,random_connected,"num_nodes=8, phys_dim=3, bond_dim=4, edge_prob=0.35, open_legs_per_node=1",0,ASTNC-L2,astnc_l2,ok,reused,,csv_snapshot,C:\Users\mrkys\workspace\sketch_tnc\outputs\main_results_e2e\main_random_8__astnc_l2__s0\2026-04-10_22-53-31,1.9399926907969818e-16,4.94505031907079e-15,8.090367337419703e-20,2.4453522695047434e-29,-286.1165856898126,0.039196900002934854,3.409999953873921e-05,0.03923100000247359,0.9991307894130733,9,1.0,16,81,12,21,12,0,0.0,1.701207195360825e-09,0.4,45,3,18,adaptive,0.001,0.005,2,C:\Users\mrkys\workspace\sketch_tnc\outputs\main_results_e2e\main_random_8__astnc_l2__s0\2026-04-10_22-53-31
core,main_random_8,random_connected,"num_nodes=8, phys_dim=3, bond_dim=4, edge_prob=0.35, open_legs_per_node=1",1,ASTNC-L2,astnc_l2,ok,reused,,csv_snapshot,C:\Users\mrkys\workspace\sketch_tnc\outputs\main_results_e2e\main_random_8__astnc_l2__s1\2026-04-10_22-53-33,1.096936007171644e-16,3.535549354709715e-15,4.8005034803442705e-20,1.250010926231982e-29,-289.0308619084673,0.030996999996204977,2.890000178012997e-05,0.031025899997985107,0.9990685200822192,9,1.0,16,27,36,27,12,0,0.0,1.7783001094921215e-09,0.4444444444444444,75,0,27,adaptive,0.001,0.005,2,C:\Users\mrkys\workspace\sketch_tnc\outputs\main_results_e2e\main_random_8__astnc_l2__s1\2026-04-10_22-53-33
core,main_random_8,random_connected,"num_nodes=8, phys_dim=3, bond_dim=4, edge_prob=0.35, open_legs_per_node=1",2,ASTNC-L2,astnc_l2,ok,reused,,csv_snapshot,C:\Users\mrkys\workspace\sketch_tnc\outputs\main_results_e2e\main_random_8__astnc_l2__s2\2026-04-10_22-53-34,4.8983613898435814e-15,5.636442226415966e-14,9.977950392593688e-20,3.176948141484239e-27,-264.9798987426667,0.08687340000142285,3.1800000215298496e-05,0.08690520000163815,0.9996340840224252,9,1.0,16,81,12,21,12,0,0.0,2.455053303444738e-09,0.4,45,3,18,adaptive,0.001,0.005,2,C:\Users\mrkys\workspace\sketch_tnc\outputs\main_results_e2e\main_random_8__astnc_l2__s2\2026-04-10_22-53-34
core,main_random_8,random_connected,"num_nodes=8, phys_dim=3, bond_dim=4, edge_prob=0.35, open_legs_per_node=1",0,ASTNC-L3,astnc_l3,ok,reused,,csv_snapshot,C:\Users\mrkys\workspace\sketch_tnc\outputs\pilot_protocol\main_random_8__astnc_l3__s0\2026-04-10_20-54-04,0.0012399848754689445,0.033680505959750716,5.510311275775638e-07,0.0011343764834168073,-29.452427853593306,0.036781200000177705,3.489999994599202e-05,0.0368161000001237,0.9990520451393569,9,1.0,16,79,7,26,12,0,0.0,0.004028613542359677,0.4,45,3,23,adaptive,0.003,0.015,2,C:\Users\mrkys\workspace\sketch_tnc\outputs\pilot_protocol\main_random_8__astnc_l3__s0\2026-04-10_20-54-04
core,main_random_8,random_connected,"num_nodes=8, phys_dim=3, bond_dim=4, edge_prob=0.35, open_legs_per_node=1",1,ASTNC-L3,astnc_l3,ok,reused,,csv_snapshot,C:\Users\mrkys\workspace\sketch_tnc\outputs\pilot_protocol\main_random_8__astnc_l3__s1\2026-04-10_20-54-05,0.00013854765293551668,0.004267022271282118,5.793683868875913e-08,1.8207479096728033e-05,-47.39750179969374,0.032437299999855895,3.210000022590975e-05,0.032469400000081805,0.9990113768278798,9,1.0,16,27,35,28,12,0,0.0,0.0002209725567273544,0.4444444444444444,75,0,28,adaptive,0.003,0.015,2,C:\Users\mrkys\workspace\sketch_tnc\outputs\pilot_protocol\main_random_8__astnc_l3__s1\2026-04-10_20-54-05
core,main_random_8,random_connected,"num_nodes=8, phys_dim=3, bond_dim=4, edge_prob=0.35, open_legs_per_node=1",2,ASTNC-L3,astnc_l3,ok,reused,,strength_sensitivity,main_random_8__astnc_l3__s2,2.8110252592862713e-15,2.979314837148861e-14,5.2741524626417436e-20,8.87631702266129e-28,-270.51767195091026,0.09431430000040564,3.710000055434648e-05,0.09435140000095998,0.9996067890719843,9,1.0,16,81,12,21,12,0,0.0,1.9628290138755003e-09,0.4,45,3,18,adaptive,0.003,0.015,2,C:\Users\mrkys\workspace\sketch_tnc\outputs\strength_sensitivity\main_random_8__astnc_l3__s2\2026-04-11_00-17-05
