case_id,case_scope,topology,size_description,seed,method,method_key,status,driver_status,driver_error,reused_from_group,reused_from_run_name,rel_error,RMSE,NMSE,NMSE_dB,contract_time_sec,emit_time_sec,total_time_sec,t_contract_ratio,num_blocks,mean_rank,max_rank,peak_rank,num_exact_merges,num_compressed_merges,num_exact_leaves,num_compressed_leaves,mean_leaf_residual_ratio,mean_merge_residual_ratio,cache_enabled,cache_requests,cache_hits,cache_misses,cache_hit_rate,num_cached_states,num_implicit_merge_sketches,num_explicit_merge_compressions,skipped_small_rank_merges,skipped_small_state_merges,skipped_low_saving_merges,rank_policy,leaf_tol,merge_tol,target_rank,run_dir
main_ring_8,core,ring,"num_nodes=8, phys_dim=3, bond_dim=4, open_legs_per_node=1",1,ASTNC-L2-no-cache,ablate_no_cache,ok,reused,,ablation_core,main_ring_8__ablate_no_cache__s1,4.3440744297741834e-15,1.1085442870431307e-19,1.8870982669677176e-29,-287.2420548420674,0.05971310000313679,3.4200003938167356e-05,0.059747300007074955,0.9994275891139257,9,1.0,16,16,27,36,72,0,0.0,1.636910297962205e-09,False,0,0,0,0.0,0,0,36,0,0,0,adaptive,0.001,0.005,2,C:\Users\mrkys\workspace\sketch_tnc\outputs\ablation_core\main_ring_8__ablate_no_cache__s1\2026-04-10_23-44-35
main_ring_8,core,ring,"num_nodes=8, phys_dim=3, bond_dim=4, open_legs_per_node=1",2,ASTNC-L2-no-cache,ablate_no_cache,ok,reused,,ablation_core,main_ring_8__ablate_no_cache__s2,0.005480598439468959,3.119903685720892e-07,3.0036959267737884e-05,-45.22344034387008,0.05965770000148041,3.5500002923072316e-05,0.05969320000440348,0.999405292329447,9,1.0,16,16,27,36,72,0,0.0,0.00038312962089419626,False,0,0,0,0.0,0,0,36,0,0,0,adaptive,0.001,0.005,2,C:\Users\mrkys\workspace\sketch_tnc\outputs\ablation_core\main_ring_8__ablate_no_cache__s2\2026-04-10_23-44-38
main_ring_8,core,ring,"num_nodes=8, phys_dim=3, bond_dim=4, open_legs_per_node=1",0,fixed-rank baseline,fixed_rank,ok,reused,,main_results_e2e,main_ring_8__fixed_rank__s0,0.8075321602784388,4.070402464662759e-05,0.6521081902034006,-1.8568034520305186,0.02340830000321148,3.290000131528359e-05,0.023441200004526763,0.9985964881359518,9,1.0,4,9,27,36,12,0,0.0,0.0,True,135,60,75,0.4444444444444444,75,27,9,0,9,0,fixed,0.0,0.0,4,C:\Users\mrkys\workspace\sketch_tnc\outputs\main_results_e2e\main_ring_8__fixed_rank__s0\2026-04-10_22-45-28
main_ring_8,core,ring,"num_nodes=8, phys_dim=3, bond_dim=4, open_legs_per_node=1",1,fixed-rank baseline,fixed_rank,ok,reused,,main_results_e2e,main_ring_8__fixed_rank__s1,0.7771009286121126,1.9830479629089817e-05,0.6038858538341185,-2.190451437212732,0.025660599994807853,3.9400003515766e-05,0.02569999999832362,0.9984669258942879,9,1.0,4,9,27,36,12,0,0.0,0.0,True,135,60,75,0.4444444444444444,75,27,9,0,9,0,fixed,0.0,0.0,4,C:\Users\mrkys\workspace\sketch_tnc\outputs\main_results_e2e\main_ring_8__fixed_rank__s1\2026-04-10_22-45-31
main_ring_8,core,ring,"num_nodes=8, phys_dim=3, bond_dim=4, open_legs_per_node=1",2,fixed-rank baseline,fixed_rank,ok,reused,,main_results_e2e,main_ring_8__fixed_rank__s2,0.832633229777223,4.7398756014085125e-05,0.6932780956299538,-1.5909252127435898,0.02393790000496665,3.300000025774352e-05,0.023970900005224394,0.998623330736469,9,1.0,4,9,27,36,12,0,0.0,0.0,True,135,60,75,0.4444444444444444,75,27,9,0,9,0,fixed,0.0,0.0,4,C:\Users\mrkys\workspace\sketch_tnc\outputs\main_results_e2e\main_ring_8__fixed_rank__s2\2026-04-10_22-45-34
main_grid2d_3x3,core,grid2d,"grid_shape=[3,3], phys_dim=3, bond_dim=4, open_legs_per_node=1",0,ASTNC-L2,astnc_l2,ok,reused,,main_results_e2e,main_grid2d_3x3__astnc_l2__s0,0.004461158998039453,9.539491641350845e-09,1.9901939738467393e-05,-47.011045931049495,0.4707789000003686,0.00018839999938791152,0.4709672999997565,0.9995999722265483,9,1.0,16,64,30,36,13,0,0.0,0.00047029083613557234,True,141,62,79,0.4397163120567376,79,13,23,0,0,0,adaptive,0.001,0.005,2,C:\Users\mrkys\workspace\sketch_tnc\outputs\main_results_e2e\main_grid2d_3x3__astnc_l2__s0\2026-04-10_22-51-36
main_grid2d_3x3,core,grid2d,"grid_shape=[3,3], phys_dim=3, bond_dim=4, open_legs_per_node=1",1,ASTNC-L2,astnc_l2,ok,reused,,main_results_e2e,main_grid2d_3x3__astnc_l2__s1,0.0036330415769231495,5.328748886719373e-09,1.3198991227935569e-05,-48.79459259770086,0.4472024999977293,0.00010399999700894114,0.44730649999473826,0.9997674972350952,9,1.0,16,64,30,36,13,0,0.0,0.0003575459070732554,True,141,62,79,0.4397163120567376,79,14,22,0,0,0,adaptive,0.001,0.005,2,C:\Users\mrkys\workspace\sketch_tnc\outputs\main_results_e2e\main_grid2d_3x3__astnc_l2__s1\2026-04-10_22-52-10
main_grid2d_3x3,core,grid2d,"grid_shape=[3,3], phys_dim=3, bond_dim=4, open_legs_per_node=1",2,ASTNC-L2,astnc_l2,ok,reused,,main_results_e2e,main_grid2d_3x3__astnc_l2__s2,0.004138565325776211,7.715338552732508e-09,1.712772308668925e-05,-47.66300367134391,0.40936689999762166,0.00014969999938330147,0.40951659999700496,0.9996344470520022,9,1.0,16,64,30,36,13,0,0.0,0.0003810082344989052,True,141,62,79,0.4397163120567376,79,14,22,0,0,0,adaptive,0.001,0.005,2,C:\Users\mrkys\workspace\sketch_tnc\outputs\main_results_e2e\main_grid2d_3x3__astnc_l2__s2\2026-04-10_22-52-45
main_grid2d_3x3,core,grid2d,"grid_shape=[3,3], phys_dim=3, bond_dim=4, open_legs_per_node=1",0,ASTNC-L2-no-blockwise,ablate_no_blockwise,ok,reused,,pilot_protocol,ablate_grid2d_3x3__ablate_no_blockwise__s0,0.010290543385193982,2.2004719547354733e-08,0.00010589528386852508,-39.751233811152126,0.9651024000004327,6.77000002724526e-05,0.9651701000007051,0.9999298569223474,1,1.0,16,223,3,5,9,0,0.0,0.0013626767873963549,True,17,0,17,0.0,17,4,1,0,0,0,adaptive,0.001,0.005,2,C:\Users\mrkys\workspace\sketch_tnc\outputs\pilot_protocol\ablate_grid2d_3x3__ablate_no_blockwise__s0\2026-04-10_21-13-58
main_grid2d_3x3,core,grid2d,"grid_shape=[3,3], phys_dim=3, bond_dim=4, open_legs_per_node=1",1,ASTNC-L2-no-blockwise,ablate_no_blockwise,ok,reused,,ablation_core,main_grid2d_3x3__ablate_no_blockwise__s1,0.011484508528423004,1.684485595322648e-08,0.0001318939374213212,-38.79775166583868,1.12815270000101,7.339999865507707e-05,1.1282260999996652,0.9999349421187339,1,1.0,16,220,3,5,9,0,0.0,0.0013669461244237408,True,17,0,17,0.0,17,4,1,0,0,0,adaptive,0.001,0.005,2,C:\Users\mrkys\workspace\sketch_tnc\outputs\ablation_core\main_grid2d_3x3__ablate_no_blockwise__s1\2026-04-10_23-44-41
