case,setting,rel_error,total_time_sec,contract_time_sec,emit_time_sec,time_ratio_vs_default,contraction_ratio_vs_default,peak_rank,num_implicit_merge_sketches,cache_hit_rate,num_cached_states,mean_merge_residual_ratio,mean_leaf_residual_ratio,status
Grid 3x3,ASTNC default,0.004077588633579595,0.41955716666689113,0.41941000000012235,0.00014716666676880172,1.0,1.0,64.0,13.666666666666666,0.4397163120567376,79.0,0.0004029480276473964,0.0,ok
Grid 3x3,no-blockwise,0.01063955577435304,0.23338129999986754,0.23332976666673252,5.153333313501207e-05,0.5562562590789003,0.5563285726774861,222.0,4.0,0.0,17.0,0.0013655762307619576,0.0,ok
Grid 3x3,no-implicit,0.004077588633579625,0.5904413666658002,0.5903377333333992,0.00010363333240093198,1.4072965821474888,1.4075432949458215,64.0,0.0,0.4397163120567376,79.0,0.0004029478226416468,0.0,ok
Grid 3x3,no-cache,0.004077588633579595,0.2997767666650664,0.2996807666653088,9.59999997576233e-05,0.7145075581632842,0.7145293785680393,64.0,13.666666666666666,0.0,0.0,0.0003693690253434467,0.0,ok
Grid 3x3,fixed-rank,0.9789127199918946,0.036393566666144274,0.036297466666231536,9.609999991274283e-05,0.08674280779248153,0.0865441135552823,4.0,45.0,0.4397163120567376,79.0,0.0,0.0,ok
Ring-8,ASTNC default,0.0018268661464925257,0.16258313333673868,0.16252909999942253,5.4033337316165366e-05,1.0,1.0,16.0,0.0,0.4444444444444444,75.0,0.00012771129844972812,0.0,ok
Ring-8,no-blockwise,6.011141745544232e-15,0.04550030000245897,0.045482966668108325,1.7333334350648027e-05,0.27985867333618014,0.27984506570374124,16.0,0.0,0.0,15.0,3.0725312394677995e-09,0.0,ok
Ring-8,no-implicit,0.0018268661464925257,0.10370180000245455,0.10366270000182946,3.910000062508819e-05,0.6378386113870104,0.6378100906372938,16.0,0.0,0.4444444444444444,75.0,0.00012771129844972812,0.0,ok
Ring-8,no-cache,0.0018268661464925257,0.11548190000394243,0.11544150000069446,4.040000324797196e-05,0.7102944667990794,0.7102820356545666,16.0,0.0,0.0,0.0,0.00012771129844972812,0.0,ok
Ring-8,fixed-rank,0.8057554395559248,0.02939743333142057,0.02935793333138766,3.950000003290673e-05,0.18081477904927098,0.18063185811951196,9.0,27.0,0.4444444444444444,75.0,0.0,0.0,ok
summary,summary,0.18130210796623947,0.20362147333407848,0.2035529933333237,6.848000075478921e-05,0.6573609737753696,0.6573514409861743,49.1,10.333333333333334,0.2652482269503546,49.4,0.00029239780742748713,0.0,summary
