case,setting,rel_error,total_time_sec,time_ratio_vs_default
Grid 3x3,ASTNC (default),0.004077588633579595,0.5341653666655475,1.0
Grid 3x3,no-blockwise,0.01063955577435304,0.5265432000002571,0.9857306985047146
Grid 3x3,no-implicit,0.004077588633579625,1.1791734666658158,2.207506402046694
