analysis,case_id,case,family,size_token,seed,method_key,method,status,rel_error,contract_time_sec,emit_time_sec,total_time_sec,exact_total_time_sec,speedup_vs_exact,t_contract_ratio,peak_rank,num_implicit_merge_sketches,cache_hit_rate,num_cached_states,mean_merge_residual_ratio,mean_leaf_residual_ratio,leaf_tol,merge_tol,rank_policy,target_rank,max_rank,cache_enabled,block_enabled,block_labels,chunk_size,run_name,run_dir,error_message
mechanism_internal,ring_8,Ring-8,ring,8,2,fixed_rank,fixed-rank,ok,0.832633229777223,0.02610600000116392,3.840000135824084e-05,0.02614440000252216,2.5183148000032816,96.32329675433422,0.99853123413224,9.0,27.0,0.4444444444444444,75.0,0.0,0.0,0.0,0.0,fixed,4,4.0,True,true,2,1,ring_8__fixed_rank__s2,C:\Users\mrkys\workspace\sketch_tnc\outputs\paper_strengthened\ring_8__fixed_rank__s2\2026-04-14_17-46-21,
mechanism_internal,ring_8,Ring-8,ring,8,0,no_blockwise,no-blockwise,ok,8.2249650560152e-15,0.05681810000169207,1.9099999917671084e-05,0.056837200001609745,0.7599426999986463,13.3705161401996,0.9996639524656952,16.0,0.0,0.0,15.0,2.69861268983621e-09,0.0,0.001,0.005,adaptive,2,16.0,True,false,2,1,ring_8__no_blockwise__s0,C:\Users\mrkys\workspace\sketch_tnc\outputs\paper_strengthened\ring_8__no_blockwise__s0\2026-04-14_17-46-24,
mechanism_internal,ring_8,Ring-8,ring,8,1,no_blockwise,no-blockwise,ok,5.095178957940358e-15,0.04016500000216183,1.6500001947861165e-05,0.040181500004109694,0.580323899997893,14.442564362308424,0.9995893631908773,16.0,0.0,0.0,15.0,3.4024881971379205e-09,0.0,0.001,0.005,adaptive,2,16.0,True,false,2,1,ring_8__no_blockwise__s1,C:\Users\mrkys\workspace\sketch_tnc\outputs\paper_strengthened\ring_8__no_blockwise__s1\2026-04-14_17-46-26,
mechanism_internal,ring_8,Ring-8,ring,8,2,no_blockwise,no-blockwise,ok,4.713281222677137e-15,0.03946580000047106,1.6400001186411828e-05,0.039482200001657475,0.596125200001552,15.098581131786677,0.999584622888661,16.0,0.0,0.0,15.0,3.116492831429268e-09,0.0,0.001,0.005,adaptive,2,16.0,True,false,2,1,ring_8__no_blockwise__s2,C:\Users\mrkys\workspace\sketch_tnc\outputs\paper_strengthened\ring_8__no_blockwise__s2\2026-04-14_17-46-27,
mechanism_internal,ring_8,Ring-8,ring,8,0,no_cache,no-cache,ok,4.273663529339475e-15,0.11738299999706214,4.149999585933983e-05,0.11742449999292148,1.8488672000021324,15.745157101778927,0.9996465814471299,16.0,0.0,0.0,0.0,2.6375446901360654e-09,0.0,0.001,0.005,adaptive,2,16.0,False,true,2,1,ring_8__no_cache__s0,C:\Users\mrkys\workspace\sketch_tnc\outputs\paper_strengthened\ring_8__no_cache__s0\2026-04-14_17-46-29,
mechanism_internal,ring_8,Ring-8,ring,8,1,no_cache,no-cache,ok,4.3440744297741834e-15,0.11488700000336394,3.8800008042017e-05,0.11492580001140595,1.7882032000088657,15.559632387295398,0.9996623907857258,16.0,0.0,0.0,0.0,1.636910297962205e-09,0.0,0.001,0.005,adaptive,2,16.0,False,true,2,1,ring_8__no_cache__s1,C:\Users\mrkys\workspace\sketch_tnc\outputs\paper_strengthened\ring_8__no_cache__s1\2026-04-14_17-46-32,
mechanism_internal,ring_8,Ring-8,ring,8,2,no_cache,no-cache,ok,0.005480598439468959,0.11405450000165729,4.090000584255904e-05,0.11409540000749985,1.803040400001919,15.802919310222817,0.9996415279946473,16.0,0.0,0.0,0.0,0.00038312962089419626,0.0,0.001,0.005,adaptive,2,16.0,False,true,2,1,ring_8__no_cache__s2,C:\Users\mrkys\workspace\sketch_tnc\outputs\paper_strengthened\ring_8__no_cache__s2\2026-04-14_17-46-34,
mechanism_internal,ring_8,Ring-8,ring,8,0,no_implicit,no-implicit,ok,4.273663529339475e-15,0.1021346999987145,3.859999924316071e-05,0.10217329999795766,1.7638431000013952,17.263248813725205,0.9996222104968366,16.0,0.0,0.4444444444444444,75.0,2.6375446901360654e-09,0.0,0.001,0.005,adaptive,2,16.0,True,true,2,1,ring_8__no_implicit__s0,C:\Users\mrkys\workspace\sketch_tnc\outputs\paper_strengthened\ring_8__no_implicit__s0\2026-04-14_17-46-37,
mechanism_internal,ring_8,Ring-8,ring,8,1,no_implicit,no-implicit,ok,4.3440744297741834e-15,0.10316910000619828,3.9100003050407395e-05,0.10320820000924869,1.8425845000019763,17.853082408364894,0.9996211540938944,16.0,0.0,0.4444444444444444,75.0,1.636910297962205e-09,0.0,0.001,0.005,adaptive,2,16.0,True,true,2,1,ring_8__no_implicit__s1,C:\Users\mrkys\workspace\sketch_tnc\outputs\paper_strengthened\ring_8__no_implicit__s1\2026-04-14_17-46-40,
mechanism_internal,ring_8,Ring-8,ring,8,2,no_implicit,no-implicit,ok,0.005480598439468959,0.1056843000005756,3.9599999581696466e-05,0.1057239000001573,1.8296114999939164,17.305561939863065,0.9996254394646691,16.0,0.0,0.4444444444444444,75.0,0.00038312962089419626,0.0,0.001,0.005,adaptive,2,16.0,True,true,2,1,ring_8__no_implicit__s2,C:\Users\mrkys\workspace\sketch_tnc\outputs\paper_strengthened\ring_8__no_implicit__s2\2026-04-14_17-46-42,
