case,l1_rel_error,l2_rel_error,l3_rel_error
Ring-8,4.455283938511533e-15,0.0018268661464925257,0.015534093928304018
Tree-8,3.4723159083077588e-15,0.00481019892737043,0.04860717570483052
Grid 3x3,1.2467806475588296e-13,0.004077588633579595,0.01805069027169671
Random-8,9.211867106338994e-15,2.0899580168572265e-14,0.012649176077019675
Average rel. error,3.545438292726031e-14,0.0026786634268658625,0.023710283995462732
