case,t_contract_ratio,t_emit_ratio,contraction_speedup,total_speedup
Ring-8,0.9995296146001272,0.0004703610099698518,41.63277134272758,41.61397684789854
Tree-8,0.9985855733981605,0.0013417257270241434,45.93549946102124,45.875858287414204
Grid 3x3,0.9996980357509065,0.00030259043301660796,88.47634991523017,88.44988359117853
Random-8,0.9993980986584204,0.0004798116976277878,8.971732943687362,8.96813855060873
Average,0.9993028306019036,0.0006486222169095978,46.25408841566659,46.226964319275005
